estado;divisao;ano;data;mandante;visitante;placar;gols_mandante;gols_visitante;resultado;peso_importancia
sao-paulo;4;2025;2025-01-22;Jabaquara;VOCEM;0-0;0;0;D;1.0
sao-paulo;4;2025;2025-01-22;Penapolense;União Barbarense;0-0;0;0;D;1.0
sao-paulo;4;2025;2025-01-22;Inter de Bebedouro;Osasco Audax;2-1;2;1;H;1.0
sao-paulo;4;2025;2025-01-22;Paulista;Matonense;1-0;1;0;H;1.0
sao-paulo;4;2025;2025-01-22;Araçatuba;Grêmio São-Carlense;2-1;2;1;H;1.0
sao-paulo;4;2025;2025-01-25;São Caetano;Paulista;0-1;0;1;A;1.0
sao-paulo;4;2025;2025-01-25;Taquaritinga;Colorado Caieiras;2-2;2;2;D;1.0
sao-paulo;4;2025;2025-01-25;Osasco Audax;Araçatuba;0-2;0;2;A;1.0
sao-paulo;4;2025;2025-01-25;Grêmio São-Carlense;Joseense;1-1;1;1;D;1.0
sao-paulo;4;2025;2025-01-25;Barretos;Jabaquara;2-0;2;0;H;1.0
sao-paulo;4;2025;2025-01-25;VOCEM;Penapolense;1-3;1;3;A;1.0
sao-paulo;4;2025;2025-01-26;União Barbarense;Nacional-SP;1-2;1;2;A;1.0
sao-paulo;4;2025;2025-01-29;Jabaquara;União Barbarense;1-2;1;2;A;1.0
sao-paulo;4;2025;2025-01-29;Taquaritinga;Nacional-SP;1-0;1;0;H;1.0
sao-paulo;4;2025;2025-01-29;Colorado Caieiras;Inter de Bebedouro;0-2;0;2;A;1.0
sao-paulo;4;2025;2025-01-29;Grêmio São-Carlense;Osasco Audax;3-3;3;3;D;1.0
sao-paulo;4;2025;2025-01-29;VOCEM;Barretos;1-1;1;1;D;1.0
sao-paulo;4;2025;2025-01-29;São Caetano;Joseense;2-1;2;1;H;1.0
sao-paulo;4;2025;2025-01-29;Araçatuba;Matonense;1-0;1;0;H;1.0
sao-paulo;4;2025;2025-01-29;Paulista;Penapolense;1-0;1;0;H;1.0
sao-paulo;4;2025;2025-02-01;Nacional-SP;Araçatuba;2-0;2;0;H;1.0
sao-paulo;4;2025;2025-02-01;Inter de Bebedouro;Jabaquara;1-2;1;2;A;1.0
sao-paulo;4;2025;2025-02-01;Osasco Audax;Paulista;0-4;0;4;A;1.0
