nome_simplificado;nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
ATLÉTICO SERRANENSE;Clube Atlético Serranense;Minas Gerais;MG;Betim;-19.9668;-44.2008;;3106705
RIO BRANCO;Rio Branco Esporte Clube;Roraima;RR;Boa Vista;2.82384;-60.6753;;1400100
GUARANI;Guarani Futebol Club;Minas Gerais;MG;Pouso Alegre;-22.2266;-45.9389;;3152501
HENRIQUE LAGE;Henrique Lage Futebol Clube;Ceará;CE;Catarina;-6.12291;-39.8736;1924-01-01T00:00:00Z;2303600
CRESSPOM;CRESSPOM;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
BOTAFOGO SERGIPANA;Botafogo Associação Sergipana de Futebol;Sergipe;SE;Cristinápolis;-11.4668;-37.7585;;2801702
FREI PAULISTANO;Associação Desportiva Frei Paulistano;Sergipe;SE;Frei Paulo;-10.5513;-37.5279;;2802304
SANTA CRUZ;Santa Cruz Futebol Clube;Minas Gerais;MG;Alagoa;-22.171;-44.6413;;3101300
SANTA CRUZ;Santa Cruz Acre Esporte Clube;Acre;AC;Rio Branco;-9.974;-67.8076;;3101300
GRÊMIO INTERLAGOS;Grêmio Interlagos;São Paulo;SP;São Paulo;-23.5329;-46.6395;;3550308
NAVIRAIENSE;Sociedade Esportiva Naviraiense;Paraíba;PB;Mato Grosso;-6.54018;-37.7279;1983-11-11T00:00:00Z;2509370
OPERÁRIO VÁRZEA-GRANDENSE;Clube Esportivo Operário Várzea-Grandense;Piauí;PI;Várzea Grande;-6.54899;-42.248;1949-05-01T00:00:00Z;2211407
CAMPINAS;Campinas Futebol Clube;São Paulo;SP;Campinas;-22.9053;-47.0659;1998-01-01T00:00:00Z;3509502
INDEPENDENTE;Independente Futebol Clube;São Paulo;SP;Mogi Guaçu;-22.3675;-46.9428;;3530706
BETIS;Betis Futebol Clube;Minas Gerais;MG;Ouro Branco;-20.5263;-43.6962;1999-01-01T00:00:00Z;3145901
ALTAMIRA;Altamira Esporte Clube;Pará;PA;Altamira;-3.20407;-52.21;;1500602
INTER DE MINAS;Associação Desportiva Internacional de Minas;Minas Gerais;MG;Itaúna;-20.0818;-44.5801;;3133808
REAL;Real Sport Club;Rio Grande do Sul;RS;Capão da Canoa;-29.7642;-50.0282;2005-01-01T00:00:00Z;4304630
ROLÂNDIA;Rolândia Esporte Clube;Paraná;PR;Rolândia;-23.3101;-51.3659;1973-01-01T00:00:00Z;4122404
VERÊ;Futebol Clube Verê;Paraná;PR;Verê;-25.8772;-52.9051;;4128609
AGRIMAQ PILARENSE;Sport Club Agrimaq Pilarense;Minas Gerais;MG;Alagoa;-22.171;-44.6413;;3101300
BENEFICENTE CATALANA E OUVIDORENSE;Associação Beneficente e Esportiva Catalana e Ouvidorense;Goiás;GO;Ouvidor;-18.2277;-47.8355;;5215504
PACAJUS;Pacajus Esporte Clube;Ceará;CE;Pacajus;-4.17107;-38.465;;2309607
EMBUGUAÇUANO;Embuguaçuano Esporte Clube;Tocantins;TO;Colméia;-8.72463;-48.7638;;1716703
ACADEMIA;Academia Futebol Clube;Mato Grosso;MT;Rondonópolis;-16.4673;-54.6372;2016-01-01T00:00:00Z;5107602
PARAENSE;Paraense Sport Club;Pará;PA;Marituba;-1.36002;-48.3421;;1504422
SANTARÉM;Esporte Clube Santarém;Pará;PA;Santarém;-2.43849;-54.6996;1970-01-01T00:00:00Z;1506807
EUTERPE;Euterpe Football Club;Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
ATLÉTICO CARIOCA;Esporte Clube Atlético Carioca;Rio de Janeiro;RJ;São Gonçalo;-22.8268;-43.0634;;3304904
VILHENENSE;Vilhenense Esportivo Clube;Rondônia;RO;Vilhena;-12.7502;-60.1488;;1100304
UNIVERSIDADE DE BRASÍLIA;Clube Desportivo Futebol Universidade de Brasília;Distrito Federal;DF;Brasília;-15.7795;-47.9297;2011-01-01T00:00:00Z;5300108
CATANDUVA;Catanduva Futebol Clube;São Paulo;SP;Catanduva;-21.1314;-48.977;;3511102
OCEANO;Oceano Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
PALMEIRAS;Sociedade Esportiva Palmeiras;São Paulo;SP;Vinhedo;-23.0302;-46.9833;1997-01-01T00:00:00Z;3556701
ITUPIRANGA;Sport Clube Itupiranga;Pará;PA;Itupiranga;-5.13272;-49.3358;;1503705
CRUZ ALTA;Sociedade Esportiva e Recreativa Cruz Alta;Rio Grande do Sul;RS;Cruz Alta;-28.645;-53.6048;;4306106
3B DA AMAZÔNIA;Associação Esportiva 3B da Amazônia;Amazonas;AM;Manaus;-3.11866;-60.0212;2017-01-01T00:00:00Z;1302603
REALENGO;Realengo Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
NEVES ATLÉTICO;Neves Atlético Clube;Rio de Janeiro;RJ;São Gonçalo;-22.8268;-43.0634;;3304904
BARRETO;Barreto Football Club;Rio de Janeiro;RJ;Niterói;-22.8832;-43.1034;;3303302
ORLEANS;Associação Atlética Orleans;Santa Catarina;SC;Orleans;-28.3487;-49.2986;;4211702
ARSENAL;Arsenal Esporte Clube;Tocantins;TO;Tocantinópolis;-6.32447;-47.4224;;1721208
TAQUARUSSÚ;Associação Taquarussú Esporte Clube;Paraná;PR;Palmas;-26.4839;-51.9888;;4117602
FLAMENGO;Clube de Regatas do Flamengo;Rio de Janeiro;RJ;Volta Redonda;-22.5202;-44.0996;;3306305
SAM CHRISTOVAM;Sam Christovam Sport Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
AABEC;AABEC;Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
AFAGU RUSSAS;AFAGU Russas;Ceará;CE;Russas;-4.92673;-37.9721;;2311801
JAQUEIRENSE;Jaqueirense Sport Club;Paraná;PR;Atalaia;-23.1517;-52.0551;;4102208
MENINA OLÍMPICA;Associação Menina Olímpica;Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
UNIRB;UNIRB Futebol Clube;Bahia;BA;Alagoinhas;-12.1335;-38.4208;;2900702
VILA;Vila Esporte Clube;Minas Gerais;MG;Formiga;-20.4618;-45.4268;;3126109
PORTO VELHO;Porto Velho Esporte Clube;Rondônia;RO;Porto Velho;-8.76077;-63.8999;2014-01-01T00:00:00Z;1100205
CANAÃ;Canaã Esporte Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
ESPERANÇA;Esperança Futebol Clube;Rio de Janeiro;RJ;Nova Friburgo;-22.2932;-42.5377;;3303401
AMAZONAS;Amazonas Futebol Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
BOTAFOGO;Botafogo Futebol Clube;Acre;AC;Rio Branco;-9.974;-67.8076;;5107206
ALTO CAMARAGIBE;Alto Camaragibe Esporte Clube;Alagoas;AL;Passo de Camaragibe;-9.24511;-35.4745;1960-06-19T00:00:00Z;2706505
ALLIANÇA;Alliança Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
ATLÉTICO CATARINENSE SÃO JOSÉ;Clube Atlético Catarinense (São José);Santa Catarina;SC;São José;-27.6136;-48.6366;;4216602
GUANABARA CITY;Guanabara City Futebol Clube;Goiás;GO;Goiânia;-16.6864;-49.2643;;5208707
NAÇÃO ESPORTES;Nação Esportes;Santa Catarina;SC;Joinville;-26.3045;-48.8487;;4209102
TELENÁUTICO;Telenáutico Futebol Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
ECONOMIÁRIOS DE BRASÍLIA;Associação dos Economiários de Brasília Futebol Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
FLAMENGO ATLÉTICO;Flamengo Atlético Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
ASA NORTE;Associação Atlética Asa Norte;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
WAGNER REFRIGERAÇÃO;Wagner Refrigeração Esporte Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
DOM PEDRO;Esporte Clube Dom Pedro;Maranhão;MA;Dom Pedro;-5.03518;-44.4409;;2103802
FLAMA ATLÉTICO;Flama Atlético Clube;Tocantins;TO;Taguatinga;-12.4026;-46.437;;1720903
VILA;Vila Esporte Clube;Goiás;GO;Planaltina;-15.452;-47.6089;;5217609
HOSPITAL DOS SERVIDORES DA UNIÃO;Associação Desportiva do Hospital dos Servidores da União;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
BARCELONA;Barcelona Futebol Clube;Rio Grande do Norte;RN;Barcelona;-5.94284;-35.9247;;2401503
BANGU ATLÉTICO;Bangu Atlético Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
UNIDOS DO CRUZEIRO;Futebol da Associação Recreativa Cultural Unidos do Cruzeiro;Ceará;CE;Cruz;-2.91813;-40.176;;2304251
ATLÉTICO AMAZONENSE;Atlético Amazonense;Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
DEMOCRÁTICO;Democrático Esporte Clube;Pernambuco;PE;Arcoverde;-8.41519;-37.0577;;2601201
JUVENTUDE ATLÉTICO;Juventude Atlético Clube;Minas Gerais;MG;Dom Bosco;-16.652;-46.2597;;3122470
ATLÉTICO DE BRASÍLIA;Clube Atlético de Brasília;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
SAÚDE;Clube da Saúde;Bahia;BA;Saúde;-10.9428;-40.4155;;2929800
DIMENSÃO SAÚDE;Associação Atlética Dimensão Saúde;Alagoas;AL;Capela;-9.41122;-36.0736;;2701309
PRATÃO;Pratão Futebol Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
CANDANGO;Associação Atlética Candango;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
VILA PLANALTO;Vila Planalto Futebol Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
RACISA;Racisa Esporte Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
DEPARTAMENTO DE ÁGUAS E ESGOTOS;Departamento de Águas e Esgotos Esporte Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
SPORTING FONTE NOVA;Sporting Fonte Nova;Pará;PA;Augusto Corrêa;-1.05109;-46.6147;;1500909
CARIRI;Cariri Football Club;Bahia;BA;Juazeiro;-9.41622;-40.5033;;2918407
ATLÉTICO BATISTENSE;Esporte Clube Atlético Batistense;Ceará;CE;Catarina;-6.12291;-39.8736;;2303600
TRÊS LAGOAS;Três Lagoas Sport Club;Paraíba;PB;Lagoa;-6.58572;-37.9127;;2508109
GUANABARA;Esporte Clube Guanabara;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
CARIOCAS;Clube dos Cariocas;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
IRMÃOS GOULART;Irmãos Goulart Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
HIGH LIFE;High Life Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
CRATEÚS ATLÉTICO;Crateús Atlético Clube;Ceará;CE;Crateús;-5.16768;-40.6536;;2304103
DOURADOS ATLÉTICO;Dourados Atlético Clube;Mato Grosso do Sul;MS;Dourados;-22.2231;-54.812;;5003702
IMPÉRIO SERRANO;Império Serrano Esporte Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
FALCON;Falcon Futebol Clube;Sergipe;SE;Aracaju;-10.9091;-37.0677;;2800308
NOVA MUTUM;Nova Mutum Esporte Clube;Paraíba;PB;Mato Grosso;-6.54018;-37.7279;;2509370
AZURIZ;Azuriz Futebol Clube;Paraná;PR;Pato Branco;-26.2292;-52.6706;;4118501
CAMPINAS;Campinas Esporte Clube;Mato Grosso;MT;Cuiabá;-15.601;-56.0974;;5103403
GARÇA ATLÉTICO;Garça Atlético Clube;São Paulo;SP;Garça;-22.2125;-49.6546;;3516705
MOTO;Moto Esporte Clube;Mato Grosso;MT;Cuiabá;-15.601;-56.0974;;5103403
ARAPONGAS;Sociedade Esportiva e Recreativa Arapongas;Paraná;PR;Arapongas;-23.4153;-51.4259;;4101507
LUSO BRASILEIRO;Sport Club Luso Brasileiro;Pará;PA;Belém;-1.4554;-48.4898;;1501402
YOLE PARÁ;Yole Club do Pará;Pará;PA;Belém;-1.4554;-48.4898;;1501402
CARAMURU;Caramuru Esporte Clube;Paraná;PR;Castro;-24.7891;-50.0108;;4104907
CIANORTE FÍSICA EDUCATIVA;Cianorte Associação Física Educativa;Paraná;PR;Cianorte;-23.6599;-52.6054;;4105508
GUARANY;Guarany Futebol Clube;Alagoas;AL;Maceió;-9.66599;-35.735;;2704302
RACING AMAZONENSE;Racing Club Amazonense;Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
SOCORRO;Socorro Sport Club;Sergipe;SE;Nossa Senhora do Socorro;-10.8468;-37.1231;;2804805
SPORTH CORINTHIANS;Sporth Clube Corinthians;São Paulo;SP;Guará;-20.4302;-47.8236;;3517703
MACEIÓ;Esporte Clube Maceió;Alagoas;AL;Maceió;-9.66599;-35.735;;2704302
INTERNACIONAL;Internacional Esporte Clube;São Paulo;SP;Franca;-20.5352;-47.4039;;3516200
RETRÔ BRASIL;Retrô Futebol Clube Brasil;Pernambuco;PE;Camaragibe;-8.02351;-34.9782;;2603454
BETIM;Betim Futebol;Minas Gerais;MG;Betim;-19.9668;-44.2008;2019-01-01T00:00:00Z;3106705
REAL DE BRASÍLIA;Esporte Clube Real de Brasília;Distrito Federal;DF;Brasília;-15.7795;-47.9297;;5300108
TAGUATINGA;Associação Desportiva Taguatinga;Tocantins;TO;Taguatinga;-12.4026;-46.437;;1720903
ERECHIM COROADOS;Erechim Coroados;Rio Grande do Sul;RS;Erechim;-27.6364;-52.2697;2015-09-20T00:00:00Z;4307005
BRASÍLIA TEMPLÁRIOS;Brasília Templários;Distrito Federal;DF;Brasília;-15.7795;-47.9297;2014-01-01T00:00:00Z;5300108
XV DE NOVEMBRO;XV de Novembro Esporte Clube;Minas Gerais;MG;Uberlândia;-18.9141;-48.2749;;3170206
GRÊMIO MADERIT;Grêmio Recreativo Esportivo Maderit;Paraná;PR;Guarapuava;-25.3902;-51.4623;;4109401
RIBEIRÃO PRETO CHALLENGERS;Ribeirão Preto Challengers;Pernambuco;PE;Ribeirão;-8.50957;-35.3698;2007-01-01T00:00:00Z;2611804
SORRISO HORNETS;Sorriso Hornets;Mato Grosso;MT;Sorriso;-12.5425;-55.7211;2013-01-01T00:00:00Z;5107925
ATHLETICA COLLEGIO LATINO-AMERICANO;Associação Athletica Collegio Latino-Americano;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
GUAPORÉ;Guaporé Futebol Clube;Rondônia;RO;Rolim de Moura;-11.7271;-61.7714;;1100288
FLAMENGO;Associação Esportiva Flamengo;Sergipe;SE;Nossa Senhora das Dores;-10.4854;-37.1963;1960-10-21T00:00:00Z;2804607
ESCOLA SUPERIOR MADRE CELESTE;Associação Atlética Escola Superior Madre Celeste;Pará;PA;Ananindeua;-1.36391;-48.3743;;1500800
NOVA VENÉCIA;Nova Venécia Futebol Clube;Espírito Santo;ES;Nova Venécia;-18.715;-40.4053;;3203908
SINOP;Clube Sport Sinop;Paraíba;PB;Mato Grosso;-6.54018;-37.7279;;2509370
COLORADO CAIEIRAS;Colorado Caieiras Futebol Clube;Minas Gerais;MG;Bandeira;-15.8783;-40.5622;;3105202
CRUZEIRO;Esporte Clube Cruzeiro;Minas Gerais;MG;Alagoa;-22.171;-44.6413;;3101300
CRUZEIRO;Esporte Clube Cruzeiro (Alagoas);Alagoas;AL;Arapiraca;-9.75164;-36.6604;;2700300
VERA CRUZ;Vera Cruz Futebol Clube;Rio de Janeiro;RJ;Angra dos Reis;-23.0011;-44.3196;;3300100
CARUARU CITY;Caruaru City Sport Club;Pernambuco;PE;Caruaru;-8.28455;-35.9699;;2604106
PORTO VITÓRIA;Porto Vitória Futebol Clube;Acre;AC;Capixaba;-10.566;-67.686;;1200179
CAPITÃO POÇO;Capitão Poço Esporte Clube;Rio Grande do Sul;RS;Capitão;-29.2674;-51.9853;;4304697
CERRADO;Cerrado Esporte Clube;Goiás;GO;Aparecida de Goiânia;-16.8198;-49.2469;2020-10-05T00:00:00Z;5201405
ABD;ABD Futebol Clube;Goiás;GO;Goiás;-15.9333;-50.14;;5208905
PATRIOTAS;Patriotas Futebol Clube;Paraná;PR;Curitiba;-25.4195;-49.2646;;4106902
UNIÃO CARMOLANDENSE;União Atlética Carmolandense;Tocantins;TO;Araguaína;-7.19238;-48.2044;1992-05-27T00:00:00Z;1702109
GRÊMIO PAGUE MENOS;Grêmio Recreativo Pague Menos;Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
GUARABIRA;Guarabira Esporte Clube;Paraíba;PB;Guarabira;-6.85064;-35.485;;2506301
MONSOON;Monsoon Futebol Clube;Espírito Santo;ES;Alegre;-20.758;-41.5382;;3200201
PRIMAVERA ATLÉTICO;Primavera Atlético Clube;Paraíba;PB;Mato Grosso;-6.54018;-37.7279;;2509370
JACOBINENSE;Jacobinense Esporte Clube;Bahia;BA;Jacobina;-11.1812;-40.5117;;2917508
MANAUARA;Manauara Esporte Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
AMAZÔNIA INDEPENDENTE;Amazônia Independente Futebol Clube;Pará;PA;Belterra;-2.63609;-54.9374;;1501451
TUNTUM;Tuntum Esporte Clube;Maranhão;MA;Tuntum;-5.25476;-44.6444;;2112308
ARUKO SPORTS BRASIL;Aruko Sports Brasil;Paraná;PR;Maringá;-23.4205;-51.9333;2020-12-18T00:00:00Z;4115200
FLAMENGO CATEGORIAS DE BASE;Clube de Regatas do Flamengo (categorias de base);Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
CENTRO OESTE;Centro Oeste Futebol Clube;Goiás;GO;Goiás;-15.9333;-50.14;;5208905
JABOATÃO DOS GUARARAPES;Associação Desportiva Jaboatão dos Guararapes;São Paulo;SP;Guararapes;-21.2544;-50.6453;2012-02-13T00:00:00Z;3518206
ITABIRITO;Itabirito Futebol Clube;Sergipe;SE;Itabi;-10.1248;-37.1056;;2803104
VF4;Associação Esportiva VF4;Paraíba;PB;João Pessoa;-7.11509;-34.8641;2017-11-09T00:00:00Z;2507507
ITARARÉ;Associação Atlética Itararé;Minas Gerais;MG;Bandeira;-15.8783;-40.5622;;3105202
AD CARMÓPOLIS;Associação Deportiva Carmópolis;Sergipe;SE;Carmópolis;-10.6449;-36.9887;2022-06-01T00:00:00Z;2801504
PORTUGUESA;Associação Atlética Portuguesa;Alagoas;AL;Campo Grande;-9.95542;-36.7926;;2701506
ZINZANE SAF;Zinzane Futebol Clube SAF;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
BATALHÃO;Batalhão Futebol Clube;Minas Gerais;MG;Palma;-21.3748;-42.3123;;3146701
MONTE RORAIMA;Monte Roraima Futebol Clube;Roraima;RR;Boa Vista;2.82384;-60.6753;;1400100
SSA;SSA Futebol Clube;Bahia;BA;Salvador;-12.9718;-38.5011;;2927408
FEIRA;Feira Futebol Clube;Bahia;BA;Feira de Santana;-12.2664;-38.9663;2026-02-05T00:00:00Z;2910800
SANTO ANTÔNIO;Santo Antônio Esporte Clube;Paraíba;PB;Mato Grosso;-6.54018;-37.7279;1932-01-01T00:00:00Z;2509370
BELMONTE;Clube Esportivo Belmonte;Paraná;PR;Curitiba;-25.4195;-49.2646;1939-01-01T00:00:00Z;4106902
IMPERIAL;Imperial Futebol Clube;Paraná;PR;Curitiba;-25.4195;-49.2646;1955-04-24T00:00:00Z;4106902
COM VIDA SAF;Clube Futebol com Vida SAF;Rio Grande do Sul;RS;Viamão;-30.0819;-51.0194;2022-02-03T00:00:00Z;4323002
ATLÉTICO PIAUIENSE;Clube Atlético Piauiense;Piauí;PI;Teresina;-5.09194;-42.8034;1946-03-01T00:00:00Z;2211001
MIGUELENSE;Miguelense Futebol Clube;Alagoas;AL;São Miguel dos Campos;-9.7826;-36.0886;1995-02-15T00:00:00Z;2708600
AGRIMAQ JEQUIAENSE;Associação Agrimaq Jequiaense;Alagoas;AL;Jequiá da Praia;-10.0039;-36.021;2008-01-01T00:00:00Z;2703759
JACIOBÁ;Jaciobá Atlético Clube;Alagoas;AL;Pão de Açúcar;-9.7497;-37.4375;1964-01-25T00:00:00Z;2706307
SÃO DOMINGOS;São Domingos Futebol Clube;Alagoas;AL;Marechal Deodoro;-9.711;-35.8953;1999-01-24T00:00:00Z;2704708
IGACI;Igaci Futebol Clube;Alagoas;AL;Igaci;-9.5372;-36.6321;2001-08-20T00:00:00Z;2703106
FF SPORT;FF Sport;Alagoas;AL;Viçosa;-9.3697;-36.2417;2009-01-01T00:00:00Z;2709400
DÍNAMO;Dínamo Esporte Clube;Alagoas;AL;Maceió;-9.6658;-35.735;2005-01-01T00:00:00Z;2704302
CRB;Clube de Regatas Brasil;Alagoas;AL;Maceió;-9.6658;-35.735;1912-09-20T00:00:00Z;2704302
CRB B;Clube de Regatas Brasil B;Alagoas;AL;Maceió;-9.6658;-35.735;1912-09-20T00:00:00Z;2704302
CSA B;Centro Sportivo Alagoano B;Alagoas;AL;Maceió;-9.6658;-35.735;1913-09-07T00:00:00Z;2704302
RENOVAÇÃO;Renovação Esporte Clube;Amapá;AP;Macapá;-0.0383;-51.0632;1934-08-20T00:00:00Z;1600303
BARE;Baré Esporte Clube;Amapá;AP;Macapá;-0.0383;-51.0632;1944-01-01T00:00:00Z;1600303
LATITUDE ZERO;Latitude Zero Esporte Clube;Amapá;AP;Macapá;-0.0383;-51.0632;2005-02-14T00:00:00Z;1600303
CRUZEIRO;Cruzeiro Esporte Clube;Amapá;AP;Macapá;-0.0383;-51.0632;1963-04-20T00:00:00Z;1600303
ADEC;Associação Desportiva de Calçoene;Amapá;AP;Calçoene;2.49804;-50.9496;;
PORTUGUESA;Associação Portuguesa de Desportos;Amapá;AP;Macapá;-0.0383;-51.0632;2014-01-01T00:00:00Z;1600303
INDEPENDENTE;Independente Esporte Clube;Amapá;AP;Santana;-0.0583;-51.1817;1962-01-19T00:00:00Z;1600600
ORATÓRIO;Oratório Recreativo Clube;Amapá;AP;Macapá;-0.0383;-51.0632;1969-08-15T00:00:00Z;1600303
SANTANA;Santana Esporte Clube;Amapá;AP;Santana;-0.0583;-51.1817;1955-09-25T00:00:00Z;1600600
ITACOATIARA;Itacoatiara Futebol Clube;Amazonas;AM;Itacoatiara;-3.1417;-58.4444;1947-08-08T00:00:00Z;1301902
FAST CLUBE;Nacional Fast Clube;Amazonas;AM;Manaus;-3.1190;-60.0217;1930-07-08T00:00:00Z;1302603
SETE;Sete de Setembro Futebol Clube;Amazonas;AM;Manaus;-3.1190;-60.0217;1947-09-07T00:00:00Z;1302603
JC FUTEBOL CLUBE;JC Futebol Clube;Amazonas;AM;Itacoatiara;-3.1417;-58.4444;2020-02-14T00:00:00Z;1301902
LIBRADE;Clube Desportivo Librade;Amazonas;AM;Manaus;-3.1190;-60.0217;2017-09-04T00:00:00Z;1302603
PARINTINS;Parintins Futebol Clube;Amazonas;AM;Parintins;-2.6283;-56.7358;2021-07-08T00:00:00Z;1303403
IRANDUBA;Esporte Clube Iranduba da Amazônia;Amazonas;AM;Iranduba;-3.2847;-60.1858;2011-01-18T00:00:00Z;1301852
PORTELA;Esporte Clube Portela;Bahia;BA;Teixeira de Freitas;-17.5348;-39.7424;2011-01-01T00:00:00Z;2931350
PORTO;Porto Sport Club;Bahia;BA;Porto Seguro;-16.4497;-39.0641;2024-01-01T00:00:00Z;2925303
JEQUIÉ;Associação Desportiva Jequié;Bahia;BA;Jequié;-13.8583;-40.0825;1969-11-20T00:00:00Z;2918001
CANAÃ;Canaã Esporte Clube;Bahia;BA;Irecê;-11.3039;-41.8569;2018-11-20T00:00:00Z;2914604
BARCELONA DE ILHÉUS;Barcelona de Ilhéus Futebol Clube;Bahia;BA;Ilhéus;-14.7935;-39.0331;2019-09-17T00:00:00Z;2913606
DOCE MEL;Doce Mel Esporte Clube;Bahia;BA;Ipiaú;-14.1375;-39.7375;1984-03-02T00:00:00Z;2913903
ITAREMA;Itarema Esporte Clube;Ceara;CE;Itarema;-2.9231;-39.9161;2021-01-01T00:00:00Z;2306253
ALIANÇA;Aliança Atlética Futebol Clube;Ceara;CE;Pacatuba;-3.9842;-38.6203;2007-03-27T00:00:00Z;2310107
CARIRI;Cariri Football Club;Ceara;CE;Juazeiro do Norte;-7.2372;-39.4121;2019-11-01T00:00:00Z;2307301
CAMPO GRANDE;Campo Grande Futebol Clube;Ceara;CE;Juazeiro do Norte;-7.2372;-39.4121;1983-05-15T00:00:00Z;2307301
TIROL;Centro Esportivo Tirol;Ceara;CE;Fortaleza;-3.7319;-38.5267;2011-11-01T00:00:00Z;2304400
LUZIÂNIA;Associação Atlética Luziânia;Goiás;GO;Luziânia;-16.2524;-47.9504;1926-12-13T00:00:00Z;5212501
GRÊMIO VALPARAÍSO;Grêmio Esportivo Valparaíso;Goiás;GO;Valparaíso de Goiás;-16.0683;-47.9767;2009-02-09T00:00:00Z;5221858
RIACHO CITY;Riacho City Futebol Clube;Distrito Federal;DF;Riacho Fundo;-15.8821;-48.0163;2005-02-14T00:00:00Z;5300108
ARUC;Associação Recreativa Unidos do Cruzeiro;Distrito Federal;DF;Cruzeiro;-15.7934;-47.9406;1961-10-21T00:00:00Z;5300108
CRUZEIRO;Cruzeiro Futebol Clube;Distrito Federal;DF;Cruzeiro;-15.7934;-47.9406;2000-05-15T00:00:00Z;5300108
BOTAFOGO;Associação Botafogo Futebol Clube;Goiás;GO;Cristalina;-16.7686;-47.6136;1999-11-20T00:00:00Z;5206206
SOBRADINHO;Sobradinho Esporte Clube;Distrito Federal;DF;Sobradinho;-15.6517;-47.7853;1975-01-01T00:00:00Z;5300108
SESP SAMAMBAENSE;Sociedade Esportiva Samambaense;Distrito Federal;DF;Samambaia;-15.8778;-48.0833;1995-03-24T00:00:00Z;5300108
TAGUATINGA;Taguatinga Esporte Clube;Distrito Federal;DF;Taguatinga;-15.8333;-48.0569;1974-07-01T00:00:00Z;5300108
BRAZLÂNDIA;Sociedade Esportiva Brazlândia;Distrito Federal;DF;Brasília;-15.6667;-48.1961;1995-06-27T00:00:00Z;5300108
CEILANDENSE;Sociedade Atlético Ceilandense;Distrito Federal;DF;Brasília;-15.8208;-48.1122;1977-10-23T00:00:00Z;5300108
SAMAMBAIA;Samambaia Futebol Clube;Distrito Federal;DF;Brasília;-15.8778;-48.0833;1975-01-29T00:00:00Z;5300108
BOLAMENSE;Bolamense Futebol Clube;Distrito Federal;DF;Brasília;-15.9083;-48.0667;2011-04-10T00:00:00Z;5300108
PARANOÁ;Paranoá Esporte Clube;Distrito Federal;DF;Brasília;-15.7744;-47.7817;2000-04-30T00:00:00Z;5300108
SANTA MARIA;Sociedade Esportiva Santa Maria;Distrito Federal;DF;Brasília;-16.0167;-48.0167;2000-01-26T00:00:00Z;5300108
CEILÂNDIA;Ceilândia Esporte Clube;Distrito Federal;DF;Brasília;-15.8208;-48.1122;1978-08-23T00:00:00Z;5300108
GAMA;Sociedade Esportiva do Gama;Distrito Federal;DF;Brasília;-16.0183;-48.0667;1975-11-15T00:00:00Z;5300108
CAPITAL CF;Capital Clube de Futebol;Distrito Federal;DF;Brasília;-15.8222;-47.9781;2005-07-05T00:00:00Z;5300108
BRASILIENSE;Brasiliense Futebol Clube;Distrito Federal;DF;Brasília;-15.8333;-48.0569;2000-08-01T00:00:00Z;5300108
