clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
COLINAS/tocantins;-8.05764;-48.4757;0.0001612903225806;0;2;0;0;0;3
MUTUM/mato_grosso;-13.8344;-56.0728;0.0001612903225806;1;2;0;1;1;1
GRÊMIO CARAJÁS/para;-1.4558;-48.4902;0.0001612903225806;0;2;0;0;0;0
PAULISTANO/mato_grosso;-14.4539;-56.8028;0.0001612903225806;1;2;0;1;1;1
LONDRINA/parana;-23.304;-51.1691;0.0037468519333551;1;1;1;0;0;0
ITUANO/sao_paulo;-23.2544;-47.2927;0.0035741476145849;1;1;1;0;2;0
SÃO BERNARDO/sao_paulo;-23.6914;-46.5646;0.0032954357338471;1;1;1;0;2;0
FIGUEIRENSE/santa_catarina;-27.5945;-48.5477;0.0032253488350467;1;1;1;1;2;3
YPIRANGA/rio_grande_do_sul;-27.6364;-52.2697;0.0030734386005353;1;1;1;1;1;1
SÃO JOSÉ/rio_grande_do_sul;-30.0318;-51.2065;0.0030043031907027;1;1;1;1;1;1
FERROVIÁRIA/sao_paulo;-22.8837;-48.4437;0.0029416406389744;1;1;1;0;2;0
GRÊMIO NOVORIZONTINO/sao_paulo;-21.4681;-49.2211;0.0027849095602254;1;1;1;0;0;0
CAXIAS/rio_grande_do_sul;-29.1629;-51.1792;0.0026549370888003;1;1;1;1;1;1
MARINGÁ/parana;-23.4205;-51.9333;0.0025788423592059;1;1;1;0;0;0
OPERÁRIO/mato_grosso_do_sul;-20.4697;-54.6201;0.0023382571509852;1;2;1;0;0;2
BRASIL/rio_grande_do_sul;-29.2227;-51.3419;0.0021943704389579;1;1;1;1;1;1
CASCAVEL/parana;-24.9573;-53.459;0.0021413055715812;1;1;1;0;0;2
NOVORIZONTINO/sao_paulo;-21.4681;-49.2211;0.0021272065613656;1;1;1;0;0;0
COSTA RICA/mato_grosso_do_sul;-18.5432;-53.1287;0.0018405619094225;1;2;1;0;0;2
PARANÁ/parana;-24.0463;-52.378;0.0018043252596468;1;1;1;0;0;0
OESTE/sao_paulo;-21.5942;-48.8149;0.0016367434403168;1;1;1;0;0;0
MARCÍLIO DIAS/santa_catarina;-26.9101;-48.6705;0.0016286689294381;1;1;1;1;2;3
SÃO LUIZ/rio_grande_do_sul;-28.388;-53.92;0.0015476096700332;1;1;1;1;1;1
JOINVILLE/santa_catarina;-26.3045;-48.8487;0.0015421945248419;1;1;1;1;2;3
GRÊMIO PRUDENTE/sao_paulo;-22.1207;-51.3925;0.0014022931889899;1;1;1;0;0;0
BARRA/santa_catarina;-26.9922;-48.6353;0.0013619129445367;1;1;1;1;2;3
DOURADOS/mato_grosso_do_sul;-22.4136;-54.2335;0.0013548463758366;1;1;1;0;0;2
CIANORTE/parana;-23.6599;-52.6054;0.0013292291708064;1;1;1;0;0;2
CAMBORIÚ/santa_catarina;-27.0241;-48.6503;0.0013161865223235;1;1;1;1;2;3
AIMORÉ/rio_grande_do_sul;-29.7545;-51.1498;0.0013051362820177;1;1;1;1;1;1
XV DE PIRACICABA/sao_paulo;-22.7338;-47.6476;0.0012989003982193;1;1;1;0;2;0
SANTO ANDRÉ/sao_paulo;-23.6737;-46.5432;0.0012978808526311;1;1;1;0;2;0
GRAMADENSE/rio_grande_do_sul;-29.3791;-50.8764;0.0012717448414594;1;1;1;1;1;1
NOVO HAMBURGO/rio_grande_do_sul;-29.6875;-51.1328;0.0012657841659043;1;1;1;1;1;1
XV DE JAÚ/sao_paulo;-22.2936;-48.5592;0.0012556038681592;1;1;1;0;2;0
HERCÍLIO LUZ/santa_catarina;-28.4713;-49.0144;0.0012492881284586;1;1;1;1;1;3
ÁGUA SANTA/sao_paulo;-23.6813;-46.6205;0.0012376437545194;1;1;1;0;2;0
SÃO BENTO/sao_paulo;-23.4969;-47.4451;0.0012222928167484;1;1;1;0;2;0
ÁGUIA NEGRA/mato_grosso_do_sul;-21.8033;-54.5427;0.0012035738902464;1;1;1;0;0;2
OPERÁRIO FERROVIÁRIO/parana;-25.0916;-50.1668;0.0011781851752285;1;1;1;1;2;3
AQUIDAUANENSE/mato_grosso_do_sul;-20.4666;-55.7868;0.0011398968418612;1;2;1;0;0;2
UNIÃO RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.0011083262689321;1;2;1;0;0;2
CATANDUVA/sao_paulo;-21.1314;-48.977;0.0010752615650394;1;1;1;0;0;0
VOCEM/sao_paulo;-22.6622;-50.4181;0.0010554780747801;1;1;1;0;0;0
CRUZEIRO/rio_grande_do_sul;-29.95;-51.0833;0.0010468709011752;1;1;1;1;1;1
SÃO BORJA/rio_grande_do_sul;-28.6578;-56.0036;0.0010437134026557;1;1;1;1;1;1
NOROESTE/sao_paulo;-22.3246;-49.0871;0.0010327872919738;1;1;1;0;2;0
MARÍLIA/sao_paulo;-22.2171;-49.9501;0.0010186604095281;1;1;1;0;0;0
COMERCIAL/mato_grosso_do_sul;-20.7849;-51.7007;0.0010001240557685;1;1;1;0;0;2
CA VOTUPORANGUENSE/sao_paulo;-20.4222;-49.9725;0.0009773707840596;1;1;1;0;0;0
MONSOON/rio_grande_do_sul;-29.75;-50.0167;0.0009731533762723;1;1;1;1;1;1
CAPIVARIANO/sao_paulo;-22.9951;-47.5071;0.0009687061326111;1;1;1;0;2;0
PENAPOLENSE/sao_paulo;-21.4148;-50.0769;0.0009483728816039;1;1;1;0;0;0
GUARANI V. AIRES/rio_grande_do_sul;-29.6103;-52.1906;0.0009412850232531;1;1;1;1;1;1
AZURIZ FUTEBOL/parana;-26.2292;-52.6706;0.0009164423606346;1;1;1;1;1;1
PRIMAVERA/sao_paulo;-23.0816;-47.2101;0.0009098255933404;1;1;1;0;2;0
DESPORTIVO BRASIL/sao_paulo;-23.2093;-47.5251;0.00090171822114;1;1;1;0;2;0
REAL SPORT CLUB/rio_grande_do_sul;-29.7642;-50.0282;0.0008605885770988;1;1;1;1;1;1
GE BRASIL/rio_grande_do_sul;-29.2227;-51.3419;0.0008572478577497;1;1;1;1;1;1
RIO GRANDE/rio_grande_do_sul;-32.0349;-52.1071;0.0008571741940565;1;1;1;1;1;1
BANDEIRANTE/sao_paulo;-21.291;-50.3432;0.0008470232415159;1;1;1;0;0;0
LINENSE/sao_paulo;-21.6718;-49.7526;0.0008398796771375;1;1;1;0;0;0
SKA BRASIL/sao_paulo;-23.4447;-46.9189;0.000829884457006;1;1;1;0;2;0
GAÚCHO/rio_grande_do_sul;-28.2576;-52.4091;0.0008209277357628;1;1;1;1;1;1
NAVIRAIENSE/mato_grosso_do_sul;-23.0618;-54.1995;0.0008165250595882;1;1;1;0;0;2
FOZ DO IGUAÇU/parana;-26.2273;-51.0873;0.0008154566967799;1;1;1;1;2;3
NAÇÃO/santa_catarina;-26.3045;-48.8487;0.0008019221668388;1;1;1;1;2;3
MINEIROS/goias;-17.5654;-52.5537;0.0008003507794221;1;2;1;0;0;2
CONCÓRDIA/santa_catarina;-27.2335;-52.026;0.0007975224853392;1;1;1;1;1;1
CARLOS RENAUX/santa_catarina;-27.0977;-48.9107;0.0007723894670025;1;1;1;1;2;3
SERC/mato_grosso_do_sul;-18.7836;-52.6178;0.0007711085393701;1;2;1;0;0;2
NACIONAL/parana;-25.4195;-49.2646;0.0007683371330468;1;1;1;1;2;3
SÃO PAULO/rio_grande_do_sul;-32.0349;-52.1071;0.0007525991140481;1;1;1;1;1;1
SANTA CATARINA/santa_catarina;-27.2156;-49.643;0.000752410467419;1;1;1;1;2;3
ANDRAUS/parana;-25.4578;-49.5297;0.0007521009447496;1;1;1;1;2;3
SANTA CRUZ/rio_grande_do_sul;-29.722;-52.4343;0.0007492989182715;1;1;1;1;1;1
PARANAVAÍ/parana;-23.0816;-52.4617;0.0007332924897322;1;1;1;0;0;2
JUVENTUS JARAGUÁ/santa_catarina;-26.4851;-49.0713;0.0007317663365158;1;1;1;1;2;3
OSASCO AUDAX/sao_paulo;-23.5324;-46.7916;0.0007255886786679;1;1;1;0;2;0
RIO BRANCO/parana;-25.5161;-48.5225;0.0007247621199163;1;1;1;1;2;3
SÃO JOSEENSE/parana;-25.5347;-49.2064;0.0007209907163998;1;1;1;1;2;3
IVINHEMA/mato_grosso_do_sul;-22.3046;-53.8184;0.0007169147102572;1;1;1;0;0;2
