clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
PADUANO;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;43;27;23;0.0011912865217484;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
MARACANÃ;CE;Maracanaú;-3.86699;-38.6259;2307650.0;42;31;37;0.0011911822273729;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
INTERPORTO;TO;Porto Nacional;-10.7027;-48.408;1718204.0;29;23;21;0.0011904598521935;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
GLOBO;RN;Ceará-Mirim;-5.64323;-35.4247;2402600.0;90;84;174;0.0011890879977723;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
CALDENSE;MG;Poços de Caldas;-21.78;-46.5692;3151800.0;104;80;178;0.001188252517438;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
TAQUARITINGA;SP;Taquaritinga;-21.4049;-48.5103;3553708.0;44;22;23;0.0011861537676627;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
OPERÁRIO FERROVIÁRIO;PR;Ponta Grossa;-25.0916;-50.1668;4119905.0;46;23;21;0.0011799028575306;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
PÉROLAS NEGRAS;RJ;Piraí;-22.6289;-43.8972;3304003.0;110;86;100;0.001163759739417;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
SERRA;ES;Serra;-20.121;-40.3074;3205002.0;150;82;120;0.0011626333510918;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
ICASA;CE;Juazeiro do Norte;-7.19621;-39.3076;2307304.0;49;39;30;0.0011610299040571;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
IMPERATRIZ;MA;Imperatriz;-5.51847;-47.4777;2105302.0;39;30;49;0.0011455345378183;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
AQUIDAUANENSE;MS;Aquidauana;-20.4666;-55.7868;5001102.0;76;50;128;0.0011430433008653;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
LUVERDENSE;MT;Lucas do Rio Verde;-13.0588;-55.9042;5105259.0;106;78;122;0.0011399807636545;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
RESENDE;RJ;Resende;-22.4705;-44.4509;3304201.0;106;112;220;0.0011376663714244;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CEOV OPERÁRIO;MT;Várzea Grande;-15.65;-56.1325;5108402.0;128;100;80;0.0011341521097148;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
SERRANO;RJ;Petrópolis;-22.52;-43.1926;3303906.0;46;39;47;0.0011329558435203;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CAUCAIA;CE;Caucaia;-3.72797;-38.6619;2303709.0;42;44;56;0.0011289356702119;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
BOAVISTA;RJ;Saquarema;-22.9292;-42.5099;3305505.0;106;126;176;0.0011284655710021;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CABOFRIENSE;RJ;Cabo Frio;-22.8894;-42.0286;3300704.0;86;76;130;0.0011193455121217;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
BELA VISTA;TO;Cachoeirinha;-6.1219;-47.9211;1703842.0;18;13;16;0.0011168790345027;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
NACIONAL;AM;Manaus;-3.11866;-60.0212;1302603.0;34;28;23;0.0011131149554528;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
