clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
SÃO BORJA/rio_grande_do_sul;São Borja;rio_grande_do_sul;-28.6578;-56.0036;São Borja;0.0010437134026557;1;1;0;4;;;;1.0;1.0;3.0;;;
CRAC/goias;Crac;goias;-18.1658;-47.9461;Catalão;0.001042670614405;1;1;0;0;;;;0.0;0.0;0.0;;;
PETROLINA/pernambuco;Petrolina;pernambuco;-9.38866;-40.5027;Petrolina;0.0010420851540369;0;2;2;2;;;;;;;1.0;0.0;1.0
IPORÁ/goias;Iporá;goias;-16.4398;-51.118;Iporá;0.001035116178256;1;1;0;0;;;;0.0;0.0;0.0;;;
NOROESTE/sao_paulo;Noroeste;sao_paulo;-22.3246;-49.0871;Bauru;0.0010327872919738;1;1;0;0;;;;0.0;0.0;1.0;;;
IPATINGA/minas_gerais;Ipatinga;minas_gerais;-19.4703;-42.5476;Ipatinga;0.0010310148400319;1;1;0;0;;;;0.0;2.0;2.0;;;
FRANCANA/sao_paulo;Francana;sao_paulo;-20.5352;-47.4039;Franca;0.0010286077666092;1;1;0;0;;;;0.0;0.0;1.0;;;
CSE/alagoas;Cse;alagoas;-9.40568;-36.6328;Palmeira dos Índios;0.001027835929828;0;2;2;2;;;;;;;1.0;0.0;3.0
RIO BRANCO DE VENDA NOVA/espirito_santo;Rio Branco De Venda Nova;espirito_santo;-20.327;-41.1355;Venda Nova do Imigrante;0.0010211089371922;1;1;0;0;;;;0.0;2.0;2.0;;;
PACAJUS/ceara;Pacajus;ceara;-4.17107;-38.465;Pacajus;0.0010207045541293;0;2;2;2;;;;;;;0.0;1.0;0.0
POTIGUAR/rio_grande_do_norte;Potiguar;rio_grande_do_norte;-5.18374;-37.3474;Mossoró;0.0010200795533113;0;2;2;2;;;;;;;0.0;1.0;0.0
MARÍLIA/sao_paulo;Marília;sao_paulo;-22.2171;-49.9501;Marília;0.0010186604095281;1;1;0;0;;;;0.0;0.0;1.0;;;
