clube;uf;pagerank_score
Ssa;BA;0.00036167293647470014
Atl. Três Corações;MG;0.0003611462697576177
Náutico;MS;0.0003598332046242602
Formosa;GO;0.000358037242842615
Tarumã;AM;0.0003560042314122376
Univap Apodi;RN;0.0003538522253518216
Cabense;PE;0.0003537415816106075
Campo Grande;CE;0.00035366399932646483
Renovação;AP;0.00035321208930210493
Iranduba;AM;0.0003517762430068638
Jaciobá;AL;0.0003513538164967675
Rio Negro;RR;0.0003479224767385902
Riachão;SE;0.00034768805073942543
Santacruzense;SP;0.0003462710407547497
Aster Brasil;ES;0.0003458114453853213
Essube;MG;0.00034571423615805985
Coritiba;SE;0.00034500371617242494
Tiradentes;PA;0.00034060911663891605
Vênus;PA;0.00033899356473653683
Aracaju;SE;0.00033701124013196793
Agrimaq Jequiaense;AL;0.00033595635251365726
São José;TO;0.0003351534772473599
Atlético Piauiense;PI;0.0003348938457074466
Cruzeiro;DF;0.0003339515304583335
Inter Sm;RS;0.00033270391318212795
Esporte Limoeiro;CE;0.0003324533615908683
Forte;ES;0.00033208463703688783
Assu;RN;0.0003320546584828074
Cruzeiro;AP;0.00033191769472146204
Bacabal;MA;0.0003290456204299156
Santa Cruz;MT;0.00032818076731155074
Castelo;ES;0.00032775688139076106
Torres Brasil;PE;0.00032712098056690727
Alvorada;TO;0.00032668272534132906
Vilhena;RO;0.00032580572050887774
12 Horas;RS;0.0003243592406796974
Manchester Futebol;MG;0.0003237712195121535
Náuas;AC;0.0003230617136859375
